id,task,task_label,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½
51,11,Unshackle yourself and sprint one metre,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
52,11,Unshackle yourself and sprint one metre,7,Tim Key,2,,2,4,2.0,2.0,2.0,,,
53,12,The most meaningful item,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
54,12,The most meaningful item,4,Josh Widdicombe,2,,2,4,2.0,2.0,2.0,,,
55,12,The most meaningful item,5,Roisin Conaty,1,,1,5,1.0,1.0,1.0,,,
56,12,The most meaningful item,6,Romesh Ranganathan,5,,5,1,5.0,5.0,5.0,,,
57,12,The most meaningful item,7,Tim Key,3,,3,3,3.0,3.0,3.0,,,
58,13,Throw a teabag into a mug,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
59,13,Throw a teabag into a mug,4,Josh Widdicombe,,,0,,,,,,,
60,13,Throw a teabag into a mug,5,Roisin Conaty,2,,2,4,2.0,2.0,2.0,,,
61,13,Throw a teabag into a mug,6,Romesh Ranganathan,3,,3,3,3.0,3.0,3.0,,,
62,13,Throw a teabag into a mug,7,Tim Key,5,,5,1,5.0,5.0,5.0,,,
63,14,Draw an image using a GPS device,3,Frank Skinner,2,,2,4,2.0,2.0,2.0,,,
64,14,Draw an image using a GPS device,4,Josh Widdicombe,5,,5,1,5.0,5.0,5.0,,,
65,14,Draw an image using a GPS device,5,Roisin Conaty,1,,1,5,1.0,1.0,1.0,,,
66,14,Draw an image using a GPS device,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
67,14,Draw an image using a GPS device,7,Tim Key,3,,3,3,3.0,3.0,3.0,,,
68,15,Buy a gift for the Taskmaster,3,Frank Skinner,3,,3,3,3.0,3.0,3.0,,,
69,15,Buy a gift for the Taskmaster,4,Josh Widdicombe,5,,5,1,5.0,5.0,5.0,,,
70,15,Buy a gift for the Taskmaster,5,Roisin Conaty,4,,4,2,4.0,4.0,4.0,,,
71,15,Buy a gift for the Taskmaster,6,Romesh Ranganathan,2,,2,4,2.0,2.0,2.0,,,
72,15,Buy a gift for the Taskmaster,7,Tim Key,1,,1,5,1.0,1.0,1.0,,,
73,16,Get an egg as high as possible,3,Frank Skinner,0,,0,,,,,,,
74,16,Get an egg as high as possible,4,Josh Widdicombe,5,,5,1,5.0,5.0,5.0,,,
75,16,Get an egg as high as possible,5,Roisin Conaty,0,,0,,,,,,,
76,16,Get an egg as high as possible,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
77,16,Get an egg as high as possible,7,Tim Key,0,,0,,,,,,,
78,17,Stand up after 100 seconds,3,Frank Skinner,2,,2,4,2.0,2.0,1.88,,,
79,17,Stand up after 100 seconds,4,Josh Widdicombe,5,,5,1,5.0,5.0,4.69,,,
80,17,Stand up after 100 seconds,5,Roisin Conaty,1,,1,5,1.0,1.0,0.938,,,
81,17,Stand up after 100 seconds,6,Romesh Ranganathan,4,,4,2=,4.0,3.5,3.75,,,
82,17,Stand up after 100 seconds,7,Tim Key,4,,4,2=,4.0,3.5,3.75,,,
83,18,Guess Frank’s age in minutes,4,Josh Widdicombe,0,,0,,,,,,,
