,id,task,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½,name,gender
0,51,11,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
1,52,11,7,Tim Key,2.0,,2,4,2.0,2.0,2.0,,,,Tim Key,M
2,53,12,3,Frank Skinner,4.0,,4,2,4.0,4.0,4.0,,,,Frank Skinner,M
3,54,12,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
4,54,12,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
5,55,12,5,Roisin Conaty,1.0,,1,5,1.0,1.0,1.0,,,,Roisin Conaty,F
6,56,12,6,Romesh Ranganathan,5.0,,5,1,5.0,5.0,5.0,,,,Romesh Ranganathan,M
7,57,12,7,Tim Key,3.0,,3,3,3.0,3.0,3.0,,,,Tim Key,M
8,58,13,3,Frank Skinner,4.0,,4,2,4.0,4.0,4.0,,,,Frank Skinner,M
9,59,13,4,Josh Widdicombe,,,0,,,,,,,,Josh Widdicombe,M
10,59,13,4,Josh Widdicombe,,,0,,,,,,,,Josh Widdicombe,M
11,60,13,5,Roisin Conaty,2.0,,2,4,2.0,2.0,2.0,,,,Roisin Conaty,F
12,61,13,6,Romesh Ranganathan,3.0,,3,3,3.0,3.0,3.0,,,,Romesh Ranganathan,M
13,62,13,7,Tim Key,5.0,,5,1,5.0,5.0,5.0,,,,Tim Key,M
14,63,14,3,Frank Skinner,2.0,,2,4,2.0,2.0,2.0,,,,Frank Skinner,M
15,64,14,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
16,64,14,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
17,65,14,5,Roisin Conaty,1.0,,1,5,1.0,1.0,1.0,,,,Roisin Conaty,F
18,66,14,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
19,67,14,7,Tim Key,3.0,,3,3,3.0,3.0,3.0,,,,Tim Key,M
20,68,15,3,Frank Skinner,3.0,,3,3,3.0,3.0,3.0,,,,Frank Skinner,M
21,69,15,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
22,69,15,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
23,70,15,5,Roisin Conaty,4.0,,4,2,4.0,4.0,4.0,,,,Roisin Conaty,F
24,71,15,6,Romesh Ranganathan,2.0,,2,4,2.0,2.0,2.0,,,,Romesh Ranganathan,M
25,72,15,7,Tim Key,1.0,,1,5,1.0,1.0,1.0,,,,Tim Key,M
26,73,16,3,Frank Skinner,0.0,,0,,,,,,,,Frank Skinner,M
27,74,16,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
28,74,16,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
29,75,16,5,Roisin Conaty,0.0,,0,,,,,,,,Roisin Conaty,F
30,76,16,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
31,77,16,7,Tim Key,0.0,,0,,,,,,,,Tim Key,M
32,78,17,3,Frank Skinner,2.0,,2,4,2.0,2.0,1.88,,,,Frank Skinner,M
33,79,17,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,4.69,,,,Josh Widdicombe,M
34,79,17,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,4.69,,,,Josh Widdicombe,M
35,80,17,5,Roisin Conaty,1.0,,1,5,1.0,1.0,0.938,,,,Roisin Conaty,F
36,81,17,6,Romesh Ranganathan,4.0,,4,2=,4.0,3.5,3.75,,,,Romesh Ranganathan,M
37,82,17,7,Tim Key,4.0,,4,2=,4.0,3.5,3.75,,,,Tim Key,M
38,83,18,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
39,83,18,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
40,84,18,6,Romesh Ranganathan,0.0,,0,,,,,,,,Romesh Ranganathan,M
41,85,19,3,Frank Skinner,3.0,,3,3,3.0,3.0,3.0,,,,Frank Skinner,M
42,86,19,4,Josh Widdicombe,4.0,,4,2,4.0,4.0,4.0,,,,Josh Widdicombe,M
43,86,19,4,Josh Widdicombe,4.0,,4,2,4.0,4.0,4.0,,,,Josh Widdicombe,M
44,87,19,5,Roisin Conaty,2.0,,2,4,2.0,2.0,2.0,,,,Roisin Conaty,F
45,88,19,6,Romesh Ranganathan,1.0,,1,5,1.0,1.0,1.0,,,,Romesh Ranganathan,M
46,89,19,7,Tim Key,5.0,,5,1,5.0,5.0,5.0,,,,Tim Key,M
47,90,20,3,Frank Skinner,4.0,,4,2,4.0,4.0,4.0,,,,Frank Skinner,M
48,91,20,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
49,91,20,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
50,92,20,5,Roisin Conaty,3.0,,3,3,3.0,3.0,3.0,,,,Roisin Conaty,F
51,93,20,6,Romesh Ranganathan,2.0,,2,4,2.0,2.0,2.0,,,,Romesh Ranganathan,M
52,94,20,7,Tim Key,1.0,,1,5,1.0,1.0,1.0,,,,Tim Key,M
53,95,21,4,Josh Widdicombe,0.0,1.0,1,,,,,,,,Josh Widdicombe,M
54,95,21,4,Josh Widdicombe,0.0,1.0,1,,,,,,,,Josh Widdicombe,M
55,96,22,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
56,96,22,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
57,97,23,3,Frank Skinner,0.0,1.0,1,,,,,,,,Frank Skinner,M
58,98,23,4,Josh Widdicombe,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Josh Widdicombe,M
59,98,23,4,Josh Widdicombe,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Josh Widdicombe,M
60,99,23,5,Roisin Conaty,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Roisin Conaty,F
61,100,23,6,Romesh Ranganathan,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Romesh Ranganathan,M
62,101,23,7,Tim Key,0.0,1.0,1,,,,,,,,Tim Key,M
63,102,24,3,Frank Skinner,5.0,,5,1,5.0,5.0,5.0,,,,Frank Skinner,M
64,103,24,4,Josh Widdicombe,3.0,,3,3,3.0,3.0,3.0,,,,Josh Widdicombe,M
65,103,24,4,Josh Widdicombe,3.0,,3,3,3.0,3.0,3.0,,,,Josh Widdicombe,M
66,104,24,5,Roisin Conaty,1.0,,1,4=,2.0,1.5,1.0,,,,Roisin Conaty,F
67,105,24,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
68,106,24,7,Tim Key,1.0,,1,4=,2.0,1.5,1.0,,,,Tim Key,M
69,107,25,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
70,107,25,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
71,108,26,3,Frank Skinner,1.0,,1,1=,5.0,3.0,3.0,,,,Frank Skinner,M
72,109,26,4,Josh Widdicombe,1.0,,1,1=,5.0,3.0,3.0,,,,Josh Widdicombe,M
73,109,26,4,Josh Widdicombe,1.0,,1,1=,5.0,3.0,3.0,,,,Josh Widdicombe,M
74,110,26,5,Roisin Conaty,1.0,,1,1=,5.0,3.0,3.0,,,,Roisin Conaty,F
75,111,26,6,Romesh Ranganathan,1.0,,1,1=,5.0,3.0,3.0,,,,Romesh Ranganathan,M
76,112,26,7,Tim Key,1.0,,1,1=,5.0,3.0,3.0,,,,Tim Key,M
77,113,27,3,Frank Skinner,4.0,,4,2,4.0,4.0,4.0,,,,Frank Skinner,M
78,114,27,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
79,114,27,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
80,115,27,5,Roisin Conaty,1.0,,1,5,1.0,1.0,1.0,,,,Roisin Conaty,F
81,116,27,6,Romesh Ranganathan,3.0,,3,3,3.0,3.0,3.0,,,,Romesh Ranganathan,M
82,117,27,7,Tim Key,2.0,,2,4,2.0,2.0,2.0,,,,Tim Key,M
83,118,28,3,Frank Skinner,4.0,,4,2,4.0,4.0,4.0,,,,Frank Skinner,M
84,119,28,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
85,119,28,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
86,120,28,5,Roisin Conaty,1.0,,1,5,1.0,1.0,1.0,,,,Roisin Conaty,F
87,121,28,6,Romesh Ranganathan,2.0,,2,4,2.0,2.0,2.0,,,,Romesh Ranganathan,M
88,122,28,7,Tim Key,3.0,,3,3,3.0,3.0,3.0,,,,Tim Key,M
89,123,29,3,Frank Skinner,3.0,,3,3,3.0,3.0,3.0,,,,Frank Skinner,M
90,124,29,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
91,124,29,4,Josh Widdicombe,5.0,,5,1,5.0,5.0,5.0,,,,Josh Widdicombe,M
92,125,29,5,Roisin Conaty,2.0,,2,4,2.0,2.0,2.0,,,,Roisin Conaty,F
93,126,29,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
94,127,29,7,Tim Key,1.0,,1,5,1.0,1.0,1.0,,,,Tim Key,M
95,128,30,3,Frank Skinner,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Frank Skinner,M
96,129,30,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
97,129,30,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
98,130,30,5,Roisin Conaty,0.0,,0,,,,,,,,Roisin Conaty,F
99,131,30,6,Romesh Ranganathan,0.0,,0,,,,,,,,Romesh Ranganathan,M
100,132,30,7,Tim Key,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Tim Key,M
101,133,31,3,Frank Skinner,3.0,,3,3,3.0,3.0,3.0,,,,Frank Skinner,M
102,134,31,4,Josh Widdicombe,1.0,,1,5,1.0,1.0,1.0,,,,Josh Widdicombe,M
103,134,31,4,Josh Widdicombe,1.0,,1,5,1.0,1.0,1.0,,,,Josh Widdicombe,M
104,135,31,5,Roisin Conaty,5.0,,5,1,5.0,5.0,5.0,,,,Roisin Conaty,F
105,136,31,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
106,137,31,7,Tim Key,2.0,,2,4,2.0,2.0,2.0,,,,Tim Key,M
107,138,32,3,Frank Skinner,4.0,,4,2,4.0,4.0,4.0,,,,Frank Skinner,M
108,139,32,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
109,139,32,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
110,140,32,5,Roisin Conaty,5.0,,5,1,5.0,5.0,5.0,,,,Roisin Conaty,F
111,141,32,6,Romesh Ranganathan,3.0,,3,3,3.0,3.0,3.0,,,,Romesh Ranganathan,M
112,142,32,7,Tim Key,,,0,,,,,,,,Tim Key,M
113,143,33,3,Frank Skinner,2.0,,2,4,2.0,2.0,2.0,,,,Frank Skinner,M
114,144,33,4,Josh Widdicombe,4.0,,4,2,4.0,4.0,4.0,,,,Josh Widdicombe,M
115,144,33,4,Josh Widdicombe,4.0,,4,2,4.0,4.0,4.0,,,,Josh Widdicombe,M
116,145,33,5,Roisin Conaty,1.0,,1,5,1.0,1.0,1.0,,,,Roisin Conaty,F
117,146,33,6,Romesh Ranganathan,3.0,,3,3,3.0,3.0,3.0,,,,Romesh Ranganathan,M
118,147,33,7,Tim Key,5.0,,5,1,5.0,5.0,5.0,,,,Tim Key,M
119,148,34,3,Frank Skinner,4.0,,4,2,4.0,4.0,4.0,,,,Frank Skinner,M
120,149,34,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
121,149,34,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
122,150,34,5,Roisin Conaty,5.0,,5,1,5.0,5.0,5.0,,,,Roisin Conaty,F
123,151,34,6,Romesh Ranganathan,1.0,,1,5,1.0,1.0,1.0,,,,Romesh Ranganathan,M
124,152,34,7,Tim Key,3.0,,3,3,3.0,3.0,3.0,,,,Tim Key,M
125,153,35,3,Frank Skinner,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Frank Skinner,M
126,154,35,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
127,154,35,4,Josh Widdicombe,0.0,,0,,,,,,,,Josh Widdicombe,M
128,155,35,5,Roisin Conaty,0.0,,0,,,,,,,,Roisin Conaty,F
129,156,35,6,Romesh Ranganathan,0.0,,0,,,,,,,,Romesh Ranganathan,M
130,157,35,7,Tim Key,2.0,,2,1=,,,5.0,5.0,3.0,3.5,Tim Key,M
131,158,36,3,Frank Skinner,5.0,,5,1,5.0,5.0,5.0,,,,Frank Skinner,M
132,159,36,4,Josh Widdicombe,1.0,,1,4=,2.0,1.5,1.0,,,,Josh Widdicombe,M
133,159,36,4,Josh Widdicombe,1.0,,1,4=,2.0,1.5,1.0,,,,Josh Widdicombe,M
134,160,36,5,Roisin Conaty,1.0,,1,4=,2.0,1.5,1.0,,,,Roisin Conaty,F
135,161,36,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
136,162,36,7,Tim Key,3.0,,3,3,3.0,3.0,3.0,,,,Tim Key,M
137,163,37,3,Frank Skinner,3.0,,3,3,3.0,3.0,3.0,,,,Frank Skinner,M
138,164,37,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
139,164,37,4,Josh Widdicombe,2.0,,2,4,2.0,2.0,2.0,,,,Josh Widdicombe,M
140,165,37,5,Roisin Conaty,1.0,,1,5,1.0,1.0,1.0,,,,Roisin Conaty,F
141,166,37,6,Romesh Ranganathan,4.0,,4,2,4.0,4.0,4.0,,,,Romesh Ranganathan,M
142,167,37,7,Tim Key,5.0,,5,1,5.0,5.0,5.0,,,,Tim Key,M
143,168,38,8,Doc Brown,4.0,,4,2,4.0,4.0,3.75,,,,Doc Brown,M
144,169,38,9,Joe Wilkinson,5.0,,5,1,5.0,5.0,4.69,,,,Joe Wilkinson,M
145,170,38,10,Jon Richardson,2.0,,2,4=,2.0,1.5,1.88,,,,Jon Richardson,M
146,171,38,11,Katherine Ryan,3.0,,3,3,3.0,3.0,2.81,,,,Katherine Ryan,F
147,171,38,11,Katherine Ryan,3.0,,3,3,3.0,3.0,2.81,,,,Katherine Ryan,F
148,172,38,12,Richard Osman,2.0,,2,4=,2.0,1.5,1.88,,,,Richard Osman,M
149,173,39,8,Doc Brown,1.0,,1,5,1.0,1.0,1.0,,,,Doc Brown,M
150,174,39,9,Joe Wilkinson,2.0,,2,4,2.0,2.0,2.0,,,,Joe Wilkinson,M
151,175,39,10,Jon Richardson,4.0,,4,2,4.0,4.0,4.0,,,,Jon Richardson,M
152,176,39,11,Katherine Ryan,3.0,,3,3,3.0,3.0,3.0,,,,Katherine Ryan,F
153,176,39,11,Katherine Ryan,3.0,,3,3,3.0,3.0,3.0,,,,Katherine Ryan,F
154,177,39,12,Richard Osman,5.0,,5,1,5.0,5.0,5.0,,,,Richard Osman,M
155,178,40,8,Doc Brown,2.0,,2,4,2.0,2.0,2.0,,,,Doc Brown,M
156,179,40,9,Joe Wilkinson,,,0,,,,,,,,Joe Wilkinson,M
157,180,40,10,Jon Richardson,5.0,,5,1,5.0,5.0,5.0,,,,Jon Richardson,M
158,181,40,11,Katherine Ryan,3.0,,3,3,3.0,3.0,3.0,,,,Katherine Ryan,F
159,181,40,11,Katherine Ryan,3.0,,3,3,3.0,3.0,3.0,,,,Katherine Ryan,F
160,182,40,12,Richard Osman,4.0,,4,2,4.0,4.0,4.0,,,,Richard Osman,M
161,183,41,8,Doc Brown,2.0,,2,4,2.0,2.0,2.0,,,,Doc Brown,M
162,184,41,9,Joe Wilkinson,1.0,,1,5,1.0,1.0,1.0,,,,Joe Wilkinson,M
163,185,41,10,Jon Richardson,3.0,,3,3,3.0,3.0,3.0,,,,Jon Richardson,M
164,186,41,11,Katherine Ryan,5.0,,5,1,5.0,5.0,5.0,,,,Katherine Ryan,F
165,186,41,11,Katherine Ryan,5.0,,5,1,5.0,5.0,5.0,,,,Katherine Ryan,F
166,187,41,12,Richard Osman,4.0,,4,2,4.0,4.0,4.0,,,,Richard Osman,M
167,188,42,8,Doc Brown,0.0,,0,,,,,,,,Doc Brown,M
168,189,42,9,Joe Wilkinson,0.0,,0,,,,,,,,Joe Wilkinson,M
169,190,42,10,Jon Richardson,4.0,,4,2,4.0,4.0,4.0,,,,Jon Richardson,M
170,191,42,11,Katherine Ryan,3.0,,3,3,3.0,3.0,3.0,,,,Katherine Ryan,F
171,191,42,11,Katherine Ryan,3.0,,3,3,3.0,3.0,3.0,,,,Katherine Ryan,F
172,192,42,12,Richard Osman,5.0,,5,1,5.0,5.0,5.0,,,,Richard Osman,M
173,193,43,8,Doc Brown,5.0,,5,1,5.0,5.0,5.0,,,,Doc Brown,M
174,194,43,9,Joe Wilkinson,2.0,,2,4,2.0,2.0,2.0,,,,Joe Wilkinson,M
175,195,43,10,Jon Richardson,3.0,,3,3,3.0,3.0,3.0,,,,Jon Richardson,M
176,196,43,11,Katherine Ryan,4.0,,4,2,4.0,4.0,4.0,,,,Katherine Ryan,F
177,196,43,11,Katherine Ryan,4.0,,4,2,4.0,4.0,4.0,,,,Katherine Ryan,F
178,197,43,12,Richard Osman,1.0,,1,5,1.0,1.0,1.0,,,,Richard Osman,M
179,198,44,8,Doc Brown,4.0,,4,2,4.0,4.0,4.0,,,,Doc Brown,M
180,199,44,9,Joe Wilkinson,2.0,,2,4,2.0,2.0,2.0,,,,Joe Wilkinson,M
181,200,44,10,Jon Richardson,3.0,,3,3,3.0,3.0,3.0,,,,Jon Richardson,M
182,201,44,11,Katherine Ryan,0.0,,0,,,,,,,,Katherine Ryan,F
